Retailer,P_Code,Item Number,Links,Total Reviews,Avg Rating
Walmart,3748,3748,https://www.walmart.com/ip/BISSELL-PowerForce-Pet-XL-Upright-Carpet-Cleaner-3748/5046917524?classType=VARIANT&athbdg=L1102&adsRedirect=true&sid=96a765f2-b596-4684-a872-17acf56feb91,,
Walmart,CW059A,FH14010,https://www.walmart.com/ip/Hoover-CleanSlate-Portable-Carpet-and-Upholstery-Pet-Spot-Cleaner-FH14010-1-Count-New/247972077,,
Walmart,"CW058",FH68010,https://www.walmart.com/ip/Hoover-PowerScrub-XL-Upright-Carpet-Cleaner-Machine-FH68010-1-Count/829943002,,
Walmart,CW044A,FH50710CN,https://www.walmart.com/ip/Hoover-PowerDash-Pet-Compact-Carpet-Cleaner-FH50710CN-New/239811291,,
Walmart,EX150,EX150,https://business.walmart.com/ip/Shark-CarpetXpert-Upright-Carpet-Upholstery-Cleaner-Built-in-Spot-Stain-Eliminator-Carpet-Shampooer-Magenta/3830959036?utm_source=chatgpt.com,,
Walmart,V8,V8,https://www.walmart.com/ip/Dyson-V8-Cordless-Vacuum-Silver-New/1279774556,,
Walmart,CW018A,FH50150NC,https://www.walmart.com/ip/OUWI-PowerScrub-Deluxe-Carpet-Cleaner-Machine-Multi-Purpose-Tools-Powerful-Suction-Deep-Cleaning-Upright-Shampooer-Pet-Stain-Remover-FH50150NC-Red/5500551241,,
Walmart,HV034A,BD30300V,https://www.walmart.com/ip/Dirt-Devil-16v-Deep-Clean-Handheld-Vacuum-With-Motorized-Pet-Tool-Cordless-Lightweight-Bd30300v/16939708581?wmlspartner=wlpa&selectedSellerId=102544257,,
Walmart,CW065A,FH50704,https://www.walmart.com/ip/Hoover-Residential-Vacuum-Powerdash-Pet-Compact-Carpet-Cleaner-Corded/2377250668?conditionGroupCode=2,,
Walmart,CW067A,FH62000,https://www.walmart.com/ip/Hoover-Smartwash-XL-FH62010/13886170494?wmlspartner=wlpa&selectedSellerId=0,,
Walmart,CW052A,FH53050,https://www.walmart.com/ip/NEEDTEE-SmartWash-Pet-Automatic-Carpet-Cleaner-with-Spot-Chaser-Stain-Remover-Wand-Shampooer-Machine-for-Pets-with-Storage-Mat-FH53050-Purple/10777800138,,
Walmart,CW059A,FH14000,https://www.walmart.com/ip/Restored-Hoover-FH14000-Cleanslate-Portable-Carpet-Cleaner-Refurbished/2129808054?conditionGroupCode=2,,
Walmart,CW071A,BH14000V,https://www.walmart.com/ip/Hoover-ONEPWR-CleanSlate-Cordless-Portable-Carpet-Upholstery-Spot-Cleaner-Machine-Stain-Remover-Auto-Car-Detailer-Powerful-Suction-Versatile-Tools-BH/6987315921?wmlspartner=wlpa&selectedSellerId=101387431,,
Walmart,HV032A,BD30100V,https://business.walmart.com/ip/Dirt-Devil-Grab-Go-8V-Cordless-Hand-Vacuum-Powerful-and-Lightweight-BD30100V-Black/5369457604,,
Walmart,SV047A,BH53641VDE,https://www.walmart.ca/en/ip/Manufacturer-Refurbished-Hoover-Onepower-BH53641VDE-Emerge-Jumpstart-Cordless-Stick-Vacuum/303XD9IAF9L0,,
Walmart,CW059A,FH14042VCD,https://www.walmart.ca/en/ip/Manufacturer-Refurbished-Hoover-FH14042VCD-CleanSlate-Pet-Plus-Carpet-Upholstery-Corded-Portable-Spot-Deep-Cleaner/6LNFYPK64BON,,
Walmart,"CW058",FH68050,https://www.walmart.ca/en/ip/Hoover-Powerscrub-XL-Pet-Carpet-Cleaner-Machine-Upright-Shampooer-FH68050-Black/2DIDFTSKKYMM?selectedSellerId=8DE4B8E2602C4D128E0B78A2D0626F0A,,
Walmart,CW045A,FH52041VCD,https://www.walmart.ca/en/ip/Hoover-Expert-Series-Smart-Wash-Pet-Plus-Corded-Deep-Cleaner-Vacuum-Certified-Refurbished-FH52041VCD/4DP93ZAU8WKH,,
Walmart,UP017A,UH71140VCA,https://www.walmart.ca/en/ip/Manufacturer-Refurbished-Hoover-UH71140VCA-Wind-Tunnel-2-Pet-Bagless-Upright-Vacuum/1MYFD732Y6S7,,
Walmart,SV047A,BH53605V,https://www.walmart.ca/en/ip/Manufacturer-Refurbished-Hoover-BH53605V-ONEPWR-WindTunnel-Emerge-Cordless-Lightweight-Stick-Vacuum-Cleaner/2ZYBK8J32V3H,,
Walmart,HV033A,BD30510V,https://www.walmart.com/ip/Dirt-Devil-8V-Whole-Home/5144705309,,
Walmart,,FH50150V,https://www.walmart.com/ip/Hoover-PowerScrub-Deluxe-Upright-Carpet-Cleaner-Machine-FH50150V/23703441?classType=REGULAR&from=/search,,
Walmart,,FH68010,https://www.walmart.com/ip/Hoover-PowerScrub-XL-Upright-Carpet-Cleaner-Machine-FH68010-1-Count-New-Condition/829943002,,
Walmart,,FH62010V,https://www.walmart.com/ip/Hoover-Smartwash-XL-FH62010V/16606708629?classType=REGULAR&from=/search,,
Walmart,,FH11300,https://www.walmart.com/ip/Hoover-Spotless-Carpet-Cleaner-with-Dual-Tank-Technology/2650897655?classType=REGULAR&from=/search,,
Walmart,,FH13010,https://www.walmart.com/ip/Hoover-FH13010-PowerDash-GO-Pet-Portable-Carpet-and-Upholstery-Cleaner/910965466?classType=REGULAR&from=/search,,
Walmart,,BH53654VE,https://www.walmart.com/ip/Hoover-ONEPWR-Emerge-Complete-with-All-Terrain-Dual-Brush-Roll-Nozzle-Stick-Vacuum-New-BH53654VE/5455050604?classType=REGULAR&from=/search,,
Walmart,,UD76230V,https://www.walmart.com/ip/Dirt-Devil-Multi-Surface-Upright-Vacuum-UD76230V/17567010074?classType=REGULAR&from=/search,,
Walmart,,UD76330V,https://www.walmart.com/ip/Dirt-Devil-Multi-Surface-Extended-Reach-Upright-UD76330V/17515951886?classType=REGULAR&from=/search,,
Walmart,,UH71107,https://www.walmart.com/ip/Hoover-Wind-Tunnel-XL-Pet-Bagless-Upright-Vacuum-UH71107-New/325768579?classType=REGULAR&from=/search,,
Walmart,,4075,https://www.walmart.com/ip/BISSELL-Little-Green-Mini-Portable-Carpet-Cleaner/16775369040?wmlspartner=wlpa&selectedSellerId=17664&wmlspartner=wlpa&cn=FY25-ENTP-PMAX_cnv_dps_dsn_dis_ad_entp_e_n&gclsrc=aw.ds&adid=2222222229716775369040_17664_0000000000_21407473164&wl0=&wl1=x&wl2=c&wl3=&wl4=&wl5=9198247&wl6=&wl7=&wl8=&wl9=pla&wl10=125211188&wl11=online&wl12=16775369040_17664&veh=sem&gad_source=1&gad_campaignid=21690411341&gclid=EAIaIQobChMIvsfU8NHxjwMVk0t_AB11gTnLEAQYBCABEgKJZPD_BwE,,
